四川成都电信组播,#genre#
爱上4K 17M2160,http://125.71.247.101:8889/udp/239.93.1.113:5140
爱上4K 17M2160,http://125.71.247.101:8889/udp/239.93.1.251:8224
信号测试 8M1080,http://125.71.247.101:8889/udp/239.93.1.33:5140
信号测试 8M1080,http://125.71.247.101:8889/udp/239.93.1.47:5140
节目导视1 8M1080,http://125.71.247.101:8889/udp/239.93.0.213:5140
节目导视2 8M1080,http://125.71.247.101:8889/udp/239.93.1.39:5140
凤凰中文 8M1080,http://125.71.247.101:8889/udp/239.93.0.162:2192
凤凰中文 8M1080,http://125.71.247.101:8889/udp/239.93.1.55:8302
凤凰中文 8M1080,http://125.71.247.101:8889/udp/239.93.1.9:2192
凤凰资讯 8M1080,http://125.71.247.101:8889/udp/239.93.0.118:2191
凤凰资讯 8M1080,http://125.71.247.101:8889/udp/239.93.1.4:2191
CCTV1 6M1080,http://125.71.247.101:8889/udp/239.93.0.184:5140
CCTV1 6M1080,http://125.71.247.101:8889/udp/239.93.0.69:5140
CCTV1 Max7M1080,http://125.71.247.101:8889/udp/239.93.1.152:5140
CCTV1 Max7M1080,http://125.71.247.101:8889/udp/239.93.1.174:5140
CCTV2 6M1080,http://125.71.247.101:8889/udp/239.93.1.160:6000
CCTV2 6M1080,http://125.71.247.101:8889/udp/239.93.1.23:6000
CCTV3 8M1080,http://125.71.247.101:8889/udp/239.93.1.11:2223
CCTV3 Max7M1080,http://125.71.247.101:8889/udp/239.93.1.150:2223
CCTV4 6M1080,http://125.71.247.101:8889/udp/239.93.1.105:5140
CCTV4 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.192:5140
CCTV5 8M1080,http://125.71.247.101:8889/udp/239.93.1.100:2224
CCTV5 8M1080,http://125.71.247.101:8889/udp/239.93.1.12:2224
CCTV5+ 8M1080,http://125.71.247.101:8889/udp/239.93.1.36:8004
CCTV5+ Max8M1080,http://125.71.247.101:8889/udp/239.93.1.173:8004
CCTV6 8M1080,http://125.71.247.101:8889/udp/239.93.1.13:2226
CCTV6 8M1080,http://125.71.247.101:8889/udp/239.93.1.155:2226
CCTV7 8M1080,http://125.71.247.101:8889/udp/239.93.1.67:5140
CCTV7 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.193:5140
CCTV8 8M1080,http://125.71.247.101:8889/udp/239.93.1.14:2225
CCTV8 8M1080,http://125.71.247.101:8889/udp/239.93.1.162:2225
CCTV9 6M1080,http://125.71.247.101:8889/udp/239.93.1.24:5140
CCTV9 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.163:5140
CCTV10 8M1080,http://125.71.247.101:8889/udp/239.93.1.28:5140
CCTV10 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.164:5140
CCTV11 8M1080,http://125.71.247.101:8889/udp/239.93.0.102:5140
CCTV12 8M1080,http://125.71.247.101:8889/udp/239.93.1.30:8124
CCTV12 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.165:8124
CCTV14 6M1080,http://125.71.247.101:8889/udp/239.93.1.29:6000
CCTV14 Max6M1080,http://125.71.247.101:8889/udp/239.93.1.194:6000
CCTV15 8M1080,http://125.71.247.101:8889/udp/239.93.0.103:5140
CCTV17 6M1080,http://125.71.247.101:8889/udp/239.93.0.92:5140
中国交通四川 8M1080,http://125.71.247.101:8889/udp/239.93.0.142:5140
中国教育1 6M1080,http://125.71.247.101:8889/udp/239.93.1.111:5140
东南卫视 6M1080,http://125.71.247.101:8889/udp/239.93.0.42:5140
东南卫视 Max6M1080,http://125.71.247.101:8889/udp/239.93.0.43:5140
东方卫视 6M1080,http://125.71.247.101:8889/udp/239.93.0.123:5140
