🌸刘公子的,#genre#
民視新聞台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-ftv13 
寰宇新聞台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn14 
華視新聞資訊台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv052 
空中英語教室,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv012 
民視旅遊台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-ftv07
i-Fun動漫台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-ftv15 
幸福空間居家台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-live206 
愛爾達娛樂台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv070 
亞洲旅遊台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn17 
MTV Live HD,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv025 
寰宇新聞台灣台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn15 
民視台灣台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv001 
中視新聞台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv074 
影迷數位電影台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv011 
靖天日本台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv047 
龍華日韓台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn11 
龍華偶像台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn12 
公視戲劇,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv042 
i-Fun動漫台3,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-ftv12 
民視無線台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv002 
CI 罪案偵查頻道,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv027 
CNEX紀實頻道,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv013 
龍華電影台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn03 
民視綜藝台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv004 
ELTV英語學習台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn20 
龍華卡通台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn01 
中視無線台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv040 
Baby First,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-longturn02 
民視第一台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv003 
大愛電視台,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv007 
SMART 知識頻道,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv076 
CNBC,http://lzoq.hk3c.ml/gt/gt1.php?id=4gtv-4gtv030 
半島電視台,http://lzoq.hk3c.ml/gt/gt1.php?id=litv-ftv10 
 
🌸应该很稳,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文,https://17186.eu.org/php/phtv/fhzw.flv

凤凰资讯,https://17186.eu.org/php/phtv/fhzx.flv
莲花卫视,http://xztv.vicp.ml/tv/amlh.php



1905电影,http://tv.aweitv.top/1905.php
翡翠台,http://nas.jdshipin.com:8801/gudoufc.php
翡翠台,http://107.167.12.58:45239/LAOSAT.ts
J2台,http://107.167.12.58:36039/LAOSAT.ts
無綫新聞台,http://107.167.12.58:34453/LAOSAT.ts
無綫財經 體育 資訊台,http://107.167.12.58:43001/LAOSAT.ts
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
翡翠台,http://113.117.74.32:8081/hls/67/index.m3u8
华丽翡翠台,http://113.117.74.32:8081/hls/25/index.m3u8
凤凰中文,http://113.117.74.32:8081/hls/37/index.m3u8
凤凰资讯,http://113.117.74.32:8081/hls/36/index.m3u8
凤凰香港,http://113.117.74.32:8081/hls/38/index.m3u8
凤凰中文 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰资讯 8M1080,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3

🍓应该不卡,#genre#
翡翠台,https://php.teamv1.repl.co/tvb.php?id=0
J2,https://php.teamv1.repl.co/tvb.php?id=1
無線新聞台,https://php.teamv1.repl.co/tvb.php?id=2
無線新聞台576P,https://php.teamv1.repl.co/tvb.php?id=3
無線新聞台海外版,https://php.teamv1.repl.co/tvb.php?id=4
無線新聞台海外版360P,https://php.teamv1.repl.co/tvb.php?id=5
無線財經體育資訊台·海外版,https://php.teamv1.repl.co/tvb.php?id=6
無線財經體育資訊台·海外版360P,https://php.teamv1.repl.co/tvb.php?id=7
事件直播頻道1,https://php.teamv1.repl.co/tvb.php?id=8
事件直播頻道1 360P,https://php.teamv1.repl.co/tvb.php?id=9
事件直播頻道2,https://php.teamv1.repl.co/tvb.php?id=10
事件直播頻道360P,https://php.teamv1.repl.co/tvb.php?id=11

龙鑫网络电影,http://106.115.24.56:9901/tsfile/live/1029_1.m3u8
未知,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
凤凰香港,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/fhtvb.php?id=fhhk
凤凰中文,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/fhtvb.php?id=fhzw
凤凰资讯,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/fhtvb.php?id=fhzx
星空卫视,http://103.112.191.9:880/LAOSAT1016.m3u8
翡翠台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571187&extension=ts
🌸央视卫视,#genre#
CCTV16-4K,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv16hd4k/15000000
CCTV-4K,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv4k/15000000
欢笑剧场4k,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hxjc4k/15000000
CCTV1 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv1hd8m/8000000
CCTV2 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv2hd8m/8000000
CCTV3 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv38m/8000000
CCTV4 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv4hd8m/8000000
CCTV5 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv58m/8000000
CCTV5+ 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv5phd8m/8000000
CCTV6 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv6hd8m/8000000
CCTV7 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv7hd8m/8000000
CCTV8 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv8hd8m/8000000
CCTV9 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv9hd8m/8000000
CCTV10 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv10hd8m/8000000
CCTV11 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv11hd8m/8000000
CCTV12 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv12hd8m/8000000
CCTV13 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv13xwhd8m/8000000
CCTV14 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctvsehd8m/8000000
CCTV15 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv15hd8m/8000000
CCTV16 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv16hd8m/8000000
CCTV17 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=cctv17hd8m/8000000
江苏卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=jswshd8m/8000000
广西卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=gxwshd8m/8000000
四川卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=scwshd/8000000
湖南卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=hunanwshd8m/8000000
浙江卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=zjwshd8m/8000000
东方卫视 8M,http://xztv.hk3.20212021.ml.cdn.cloudflare.net/tv/bestv.php?id=dfwshd8m/8000000
